,x,y,u
0.523,0.918504468,0.948865771,1.103515032
0.524,0.919172499,0.948788443,1.105446908
0.525,0.919844494,0.948711755,1.107377782
0.526,0.920520452,0.94863571,1.109307652
0.527,0.921200378,0.948560313,1.111236517
0.528,0.921884273,0.948485567,1.113164375
0.529,0.922572139,0.948411475,1.115091225
0.53,0.923263978,0.948338042,1.117017064
0.531,0.923959792,0.94826527,1.118941891
0.532,0.924659585,0.948193164,1.120865704
0.533,0.925363356,0.948121727,1.122788501
0.534,0.92607111,0.948050962,1.124710282
0.535,0.926782847,0.947980874,1.126631043
0.536,0.92749857,0.947911465,1.128550783
0.537,0.92821828,0.94784274,1.130469501
0.538,0.928941981,0.947774702,1.132387195
0.539,0.929669672,0.947707355,1.134303863
0.54,0.930401358,0.947640703,1.136219503
0.541,0.931137038,0.947574748,1.138134114
0.542,0.931876716,0.947509496,1.140047694
0.543,0.932620394,0.947444948,1.141960241
0.544,0.933368072,0.94738111,1.143871753
0.545,0.934119753,0.947317984,1.145782229
0.546,0.934875438,0.947255574,1.147691668
0.547,0.93563513,0.947193885,1.149600067
0.548,0.93639883,0.947132919,1.151507424
0.549,0.93716654,0.94707268,1.153413738
0.55,0.937938261,0.947013172,1.155319008
0.551,0.938713995,0.946954399,1.157223231
0.552,0.939493744,0.946896364,1.159126406
0.553,0.94027751,0.94683907,1.161028531
0.554,0.941065293,0.946782523,1.162929604
0.555,0.941857097,0.946726725,1.164829625
0.556,0.942652921,0.946671679,1.16672859
0.557,0.943452768,0.94661739,1.168626498
0.558,0.94425664,0.946563862,1.170523348
0.559,0.945064537,0.946511097,1.172419138
0.56,0.945876461,0.9464591,1.174313866
0.561,0.946692414,0.946407874,1.176207531
0.562,0.947512397,0.946357424,1.178100131
0.563,0.948336411,0.946307752,1.179991663
0.564,0.949164458,0.946258862,1.181882127
0.565,0.949996539,0.946210758,1.183771521
0.566,0.950832656,0.946163444,1.185659843
0.567,0.95167281,0.946116924,1.187547091
0.568,0.952517001,0.946071201,1.189433264
0.569,0.953365232,0.946026279,1.191318359
0.57,0.954217504,0.945982161,1.193202376
0.571,0.955073817,0.945938852,1.195085313
0.572,0.955934173,0.945896354,1.196967168
0.573,0.956798574,0.945854672,1.198847939
0.574,0.957667019,0.94581381,1.200727624
0.575,0.958539511,0.945773771,1.202606222
0.576,0.95941605,0.945734559,1.204483731
0.577,0.960296638,0.945696177,1.20636015
0.578,0.961181276,0.94565863,1.208235477
0.579,0.962069964,0.945621921,1.21010971
0.58,0.962962703,0.945586053,1.211982847
0.581,0.963859495,0.945551031,1.213854887
0.582,0.964760341,0.945516858,1.215725829
0.583,0.965665241,0.945483539,1.217595669
0.584,0.966574196,0.945451076,1.219464408
0.585,0.967487208,0.945419473,1.221332042
0.586,0.968404276,0.945388735,1.223198571
0.587,0.969325402,0.945358865,1.225063993
0.588,0.970250587,0.945329866,1.226928306
0.589,0.971179831,0.945301743,1.228791508
0.59,0.972113136,0.9452745,1.230653598
0.591,0.973050501,0.945248139,1.232514574
0.592,0.973991928,0.945222665,1.234374435
0.593,0.974937417,0.945198081,1.236233178
0.594,0.97588697,0.945174392,1.238090803
0.595,0.976840585,0.945151601,1.239947306
0.596,0.977798265,0.945129712,1.241802688
0.597,0.97876001,0.945108729,1.243656946
0.598,0.979725819,0.945088655,1.245510078
0.599,0.980695695,0.945069494,1.247362083
0.6,0.981669637,0.94505125,1.24921296
0.601,0.982647645,0.945033927,1.251062706
0.602,0.983629721,0.945017528,1.252911319
0.603,0.984615865,0.945002058,1.254758799
0.604,0.985606076,0.94498752,1.256605144
0.605,0.986600356,0.944973918,1.258450351
0.606,0.987598705,0.944961255,1.26029442
0.607,0.988601123,0.944949537,1.262137348
0.608,0.98960761,0.944938765,1.263979134
0.609,0.990618167,0.944928945,1.265819777
0.61,0.991632794,0.94492008,1.267659274
0.611,0.99265149,0.944912174,1.269497624
0.612,0.993674258,0.94490523,1.271334826
0.613,0.994701095,0.944899253,1.273170877
0.614,0.995732004,0.944894246,1.275005777
0.615,0.996766983,0.944890213,1.276839523
0.616,0.997806033,0.944887158,1.278672114
0.617,0.998849154,0.944885085,1.280503548
0.618,0.999896346,0.944883998,1.282333824
0.619,1.000947609,0.9448839,1.28416294
0.62,1.002002942,0.944884795,1.285990894
0.621,1.003062347,0.944886688,1.287817684
